[2026-05-08 08:54:39] [INFO] Payment processing started for request: {"student_id":"1697","amount":"98980","payment_mode":"cash"} | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-08 08:54:39] [INFO] Payment validation passed for student 1697. Proceeding with payment record creation. | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-08 08:54:39] [INFO] Database transaction started for student 1697 payment processing. | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-08 08:54:39] [INFO] Generating receipt number - Student: 1697, Fee Component: school_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-08 08:54:39] [SUCCESS] Payment record created: ID 3220, Receipt: 192, Component: school_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-08 08:54:39] [INFO] Synchronized tbl_student_fee_allocation for student 1697 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-08 08:54:39] [INFO] Generating receipt number - Student: 1697, Fee Component: trust_facilities_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-08 08:54:39] [SUCCESS] Payment record created: ID 3221, Receipt: 232, Component: trust_facilities_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-08 08:54:39] [INFO] Synchronized tbl_student_fee_allocation for student 1697 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-08 08:54:39] [INFO] Generating receipt number - Student: 1697, Fee Component: tuition_fee_part2 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-08 08:54:39] [SUCCESS] Payment record created: ID 3222, Receipt: 228, Component: tuition_fee_part2 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-08 08:54:39] [INFO] Synchronized tbl_student_fee_allocation for student 1697 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-08 08:54:39] [INFO] Payment transaction log created for payment ID: 3220 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-08 08:54:39] [SUCCESS] Payment transaction committed successfully for student 1697. Receipt No: 192, 232, 228 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-08 09:09:27] [INFO] Payment processing started for request: {"student_id":"2396","amount":"10000","payment_mode":"cash"} | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-08 09:09:27] [INFO] Payment validation passed for student 2396. Proceeding with payment record creation. | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-08 09:09:27] [INFO] Database transaction started for student 2396 payment processing. | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
