[2026-05-07 09:25:50] [INFO] Payment processing started for request: {"student_id":"1815","amount":"21600","payment_mode":"cash"} | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-07 09:25:50] [INFO] Payment validation passed for student 1815. Proceeding with payment record creation. | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-07 09:25:50] [INFO] Database transaction started for student 1815 payment processing. | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-07 09:25:50] [INFO] Generating receipt number - Student: 1815, Fee Component: transport_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-07 09:25:50] [SUCCESS] Payment record created: ID 3185, Receipt: 33, Component: transport_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-07 09:25:50] [INFO] Synchronized tbl_student_fee_allocation for student 1815 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-07 09:25:50] [INFO] Payment transaction log created for payment ID: 3185 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-07 09:25:50] [SUCCESS] Payment transaction committed successfully for student 1815. Receipt No: 33 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-07 09:25:50] [INFO] Updated student requirement flags for student 1815: transport_required = 'Yes' | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-07 09:28:23] [INFO] Payment processing started for request: {"student_id":"2303","amount":"95440","payment_mode":"cash"} | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-07 09:28:23] [INFO] Payment validation passed for student 2303. Proceeding with payment record creation. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-07 09:28:23] [INFO] Database transaction started for student 2303 payment processing. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
