[2026-05-06 09:35:19] [INFO] Payment processing started for request: {"student_id":"2274","amount":"95440","payment_mode":"cash"} | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-06 09:35:19] [INFO] Payment validation passed for student 2274. Proceeding with payment record creation. | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-06 09:35:19] [INFO] Database transaction started for student 2274 payment processing. | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-06 09:35:19] [INFO] Generating receipt number - Student: 2274, Fee Component: school_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-06 09:35:19] [SUCCESS] Payment record created: ID 3153, Receipt: 179, Component: school_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-06 09:35:19] [INFO] Synchronized tbl_student_fee_allocation for student 2274 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-06 09:35:19] [INFO] Generating receipt number - Student: 2274, Fee Component: trust_facilities_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-06 09:35:19] [SUCCESS] Payment record created: ID 3154, Receipt: 216, Component: trust_facilities_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-06 09:35:19] [INFO] Synchronized tbl_student_fee_allocation for student 2274 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-06 09:35:19] [INFO] Generating receipt number - Student: 2274, Fee Component: tuition_fee_part2 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-06 09:35:19] [SUCCESS] Payment record created: ID 3155, Receipt: 215, Component: tuition_fee_part2 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-06 09:35:19] [INFO] Synchronized tbl_student_fee_allocation for student 2274 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-06 09:35:19] [INFO] Payment transaction log created for payment ID: 3153 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-06 09:35:19] [SUCCESS] Payment transaction committed successfully for student 2274. Receipt No: 179, 216, 215 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
