[2026-05-14 09:05:51] [INFO] Payment processing started for request: {"student_id":"1905","amount":"95440","payment_mode":"cash"} | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-14 09:05:51] [INFO] Payment validation passed for student 1905. Proceeding with payment record creation. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-14 09:05:51] [INFO] Database transaction started for student 1905 payment processing. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-14 09:05:51] [INFO] Generating receipt number - Student: 1905, Fee Component: school_fee | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-14 09:05:51] [SUCCESS] Payment record created: ID 4434, Receipt: 236, Component: school_fee | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-14 09:05:51] [INFO] Synchronized tbl_student_fee_allocation for student 1905 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-14 09:05:51] [INFO] Generating receipt number - Student: 1905, Fee Component: trust_facilities_fee | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-14 09:05:51] [SUCCESS] Payment record created: ID 4435, Receipt: 301, Component: trust_facilities_fee | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-14 09:05:51] [INFO] Synchronized tbl_student_fee_allocation for student 1905 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-14 09:05:51] [INFO] Generating receipt number - Student: 1905, Fee Component: tuition_fee_part2 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-14 09:05:51] [SUCCESS] Payment record created: ID 4436, Receipt: 285, Component: tuition_fee_part2 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-14 09:05:51] [INFO] Synchronized tbl_student_fee_allocation for student 1905 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-14 09:05:51] [INFO] Payment transaction log created for payment ID: 4434 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-14 09:05:51] [SUCCESS] Payment transaction committed successfully for student 1905. Receipt No: 236, 301, 285 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
